x,y,Algorithm,suitability,source_panel,GLM,MaxEnt
110.083333333333,30.0833333333333,GLM,0.0547774508595467,map_predictions,,
110.083333333333,30.25,GLM,0.0546617209911346,map_predictions,,
110.083333333333,30.4166666666667,GLM,0.056119080632925,map_predictions,,
110.083333333333,30.5833333333333,GLM,0.0552425496280193,map_predictions,,
110.083333333333,30.75,GLM,0.0528953522443771,map_predictions,,
110.083333333333,30.9166666666667,GLM,0.0529514588415623,map_predictions,,
110.083333333333,31.0833333333333,GLM,0.0534610748291016,map_predictions,,
110.083333333333,31.25,GLM,0.0504714958369732,map_predictions,,
110.083333333333,31.4166666666667,GLM,0.0467785075306892,map_predictions,,
110.083333333333,31.5833333333333,GLM,0.0480287633836269,map_predictions,,
110.083333333333,31.75,GLM,0.0487772226333618,map_predictions,,
110.083333333333,31.9166666666667,GLM,0.049257293343544,map_predictions,,
110.083333333333,32.0833333333333,GLM,0.0499152392148972,map_predictions,,
110.083333333333,32.25,GLM,0.049648467451334,map_predictions,,
110.083333333333,32.4166666666667,GLM,0.0475120097398758,map_predictions,,
110.083333333333,32.5833333333333,GLM,0.0457213558256626,map_predictions,,
110.083333333333,32.75,GLM,0.0476453043520451,map_predictions,,
110.083333333333,32.9166666666667,GLM,0.0470008179545403,map_predictions,,
110.083333333333,33.0833333333333,GLM,0.0456212945282459,map_predictions,,
110.083333333333,33.25,GLM,0.0453509278595448,map_predictions,,
110.083333333333,33.4166666666667,GLM,0.0430815108120441,map_predictions,,
110.083333333333,33.5833333333333,GLM,0.041909359395504,map_predictions,,
110.083333333333,33.75,GLM,0.0423617102205753,map_predictions,,
110.083333333333,33.9166666666667,GLM,0.041099775582552,map_predictions,,
110.083333333333,34.0833333333333,GLM,0.0410286784172058,map_predictions,,
110.083333333333,34.25,GLM,0.0395022481679916,map_predictions,,
110.083333333333,34.4166666666667,GLM,0.0380943045020103,map_predictions,,
110.083333333333,34.5833333333333,GLM,0.043216846883297,map_predictions,,
110.083333333333,34.75,GLM,0.0435794293880463,map_predictions,,
110.083333333333,34.9166666666667,GLM,0.0427224412560463,map_predictions,,
110.083333333333,35.0833333333333,GLM,0.0412467680871487,map_predictions,,
110.083333333333,35.25,GLM,0.039765615016222,map_predictions,,
110.083333333333,35.4166666666667,GLM,0.0371794439852238,map_predictions,,
110.083333333333,35.5833333333333,GLM,0.0356849208474159,map_predictions,,
110.083333333333,35.75,GLM,0.0341641306877136,map_predictions,,
110.083333333333,35.9166666666667,GLM,0.0354638248682022,map_predictions,,
110.083333333333,36.0833333333333,GLM,0.0361435152590275,map_predictions,,
110.083333333333,36.25,GLM,0.0358725897967815,map_predictions,,
110.083333333333,36.4166666666667,GLM,0.0353371389210224,map_predictions,,
110.083333333333,36.5833333333333,GLM,0.0357562303543091,map_predictions,,
110.083333333333,36.75,GLM,0.035068403929472,map_predictions,,
110.083333333333,36.9166666666667,GLM,0.0351773463189602,map_predictions,,
110.083333333333,37.0833333333333,GLM,0.0346250608563423,map_predictions,,
110.083333333333,37.25,GLM,0.0338024236261845,map_predictions,,
110.083333333333,37.4166666666667,GLM,0.0340140759944916,map_predictions,,
110.083333333333,37.5833333333333,GLM,0.0339871942996979,map_predictions,,
110.083333333333,37.75,GLM,0.0336659848690033,map_predictions,,
110.083333333333,37.9166666666667,GLM,0.033491488546133,map_predictions,,
110.083333333333,38.0833333333333,GLM,0.0325607284903526,map_predictions,,
110.083333333333,38.25,GLM,0.032101396471262,map_predictions,,
110.083333333333,38.4166666666667,GLM,0.0317507870495319,map_predictions,,
110.083333333333,38.5833333333333,GLM,0.0317127890884876,map_predictions,,
110.083333333333,38.75,GLM,0.0316378995776176,map_predictions,,
110.083333333333,38.9166666666667,GLM,0.0311580207198858,map_predictions,,
110.083333333333,39.0833333333333,GLM,0.0307814199477434,map_predictions,,
110.083333333333,39.25,GLM,0.0308261979371309,map_predictions,,
110.083333333333,39.4166666666667,GLM,0.0307022668421268,map_predictions,,
110.083333333333,39.5833333333333,GLM,0.030242033302784,map_predictions,,
110.083333333333,39.75,GLM,0.0294169001281261,map_predictions,,
110.083333333333,39.9166666666667,GLM,0.0297207720577717,map_predictions,,
110.083333333333,40.0833333333333,GLM,0.0297869108617306,map_predictions,,
110.083333333333,40.25,GLM,0.0300972238183022,map_predictions,,
110.083333333333,40.4166666666667,GLM,0.0303096473217011,map_predictions,,
110.083333333333,40.5833333333333,GLM,0.029557591304183,map_predictions,,
110.083333333333,40.75,GLM,0.0278831068426371,map_predictions,,
110.083333333333,40.9166666666667,GLM,0.0275959651917219,map_predictions,,
